PROBLEM,BB_LOWER_BOUND,BB_UPPER_BOUND,BB_CTIME,HRKGA_MIN_LENGTH,HRKGA_MEAN_LENGTH,HRKGA_MIN_CTIME,HRKGA_MEAN_CTIME,GSOA_MIN_LENGTH,GSOA_MEAN_LENGTH,GSOA_MIN_CTIME,GSOA_MEAN_CTIME,CENTROID_MIN_LENGTH,CENTROID_MEAN_LENGTH,CENTROID_MIN_CTIME,CENTROID_MEAN_CTIME
3D_50_20_f,2516.529162332044,2702.1139132077587,36008.748261,,,,,2706.92,2719.6948,49.0,50.66,2695.7,2695.7,0.0,0.0
3D_35_20_d,2511.2811827134774,3312.398767756623,36129.667338,,,,,3302.17,3384.106800000001,44.0,44.64,3293.37,3293.37,2.0,2.0
3D_30_20_f,2163.002007736919,2915.285284635472,36086.5598,,,,,2841.43,2862.0434000000005,48.0,48.8,2820.5,2820.5,0.0,0.0
3D_30_20_e,1954.64204249976,2464.998078115937,36028.749447999995,,,,,2455.8,2468.4790000000003,48.0,49.52,2449.33,2449.33,1.0,1.0
3D_40_20_f,2415.233107573144,2983.558616628796,36072.977752,,,,,2934.92,3030.2768000000005,48.0,49.14,2926.71,2926.71,0.0,0.0
3D_30_20_c,2578.0977419440915,3190.0459886370195,36003.164222,,,,,3188.23,3227.3812,47.0,47.78,3175.85,3175.85,0.0,0.0
3D_30_20_b,2425.226283680933,3100.2496702214257,36017.931706,,,,,3083.26,3143.7472000000016,45.0,45.8,3070.73,3070.73,1.0,1.0
3D_30_20_a,2263.5969029504618,2818.8407658696283,36065.028791,,,,,2802.09,2847.7712,44.0,44.9,2777.26,2777.26,0.0,0.0
3D_35_20_a,2473.126760655991,3102.870639530423,36752.08713,,,,,3111.07,3127.4298,48.0,49.64,3092.3,3092.3,1.0,1.0
3D_50_20_e,2780.095460835327,3350.6003264610067,36005.869796,,,,,3336.47,3358.0812,44.0,45.16,3319.27,3319.27,0.0,0.0
3D_30_20_d,2520.339083018112,3206.201047272289,36510.670794,,,,,3178.48,3236.4736000000003,44.0,44.98,3157.13,3157.13,1.0,1.0
3D_50_25_d,2434.527240501252,3480.675708560755,36017.748685,,,,,3425.34,3467.0139999999997,75.0,77.26,3390.0,3390.0,0.0,0.0
3D_50_25_c,2496.1695224589057,3693.953497336985,36012.575668,,,,,3541.95,3593.3851999999997,76.0,77.94,3521.25,3521.25,0.0,0.0
3D_50_25_b,2560.101034233121,3883.8369586645154,36031.344906,,,,,3830.91,3969.2394000000013,72.0,73.3,3791.48,3791.48,0.0,0.0
3D_50_25_a,2388.3629600574177,3577.4432776035087,36332.853329,,,,,3436.51,3507.4861999999994,72.0,73.74,3412.32,3412.32,0.0,0.0
3D_50_25_f,2588.453320873057,3301.626276463988,36026.085427,,,,,3262.93,3295.924599999999,72.0,73.58,3248.89,3248.89,2.0,2.0
3D_50_25_e,2399.486658266805,3504.516801448596,36041.054954,,,,,3443.08,3506.5148,70.0,71.76,3439.11,3439.11,2.0,2.0
3D_45_25_a,2450.558610800576,3460.5190521176664,57923.369109,,,,,3376.33,3431.7351999999983,65.0,67.76,3338.38,3338.38,0.0,0.0
3D_30_25_b,2382.648494234126,3593.92477487404,36009.476213999995,,,,,3423.71,3482.1922000000013,68.0,71.28,3402.67,3402.67,0.0,0.0
3D_35_25_c,2470.114206254192,3517.5591672078417,36017.077655,,,,,3438.4,3509.438000000001,72.0,73.36,3404.15,3404.15,0.0,0.0
3D_35_25_d,2824.012337227116,3768.872721385125,36082.226847,,,,,3691.11,3879.361999999999,70.0,70.84,3678.76,3678.76,1.0,1.0
3D_35_25_e,2348.986365430491,3508.3340739759064,36322.950522,,,,,3352.89,3465.170199999999,75.0,76.14,3316.44,3316.44,1.0,1.0
3D_40_25_f,2106.0012291018106,3294.664955927814,36844.739404,,,,,3186.98,3297.0622000000003,69.0,69.84,3157.32,3157.32,0.0,0.0
3D_30_25_a,2275.6291879667683,3195.29237722726,36923.486144,,,,,3060.27,3082.149599999999,70.0,70.6,3051.08,3051.08,2.0,2.0
3D_40_25_e,2461.5713014744088,3563.549346578566,42500.258263,,,,,3413.54,3464.1639999999984,67.0,68.48,3393.44,3393.44,0.0,0.0
3D_40_25_d,2316.5325055888447,3640.2964773326826,36010.530004,,,,,3555.72,3708.0424000000003,72.0,74.04,3526.97,3526.97,0.0,0.0
3D_40_25_c,2547.998015982796,3586.4930506089668,36017.049452,,,,,3471.8,3501.216600000001,78.0,78.48,3453.92,3453.92,1.0,1.0
3D_40_25_b,2591.6867313751463,3382.920621817126,39440.039511,,,,,3377.05,3414.806799999998,71.0,72.68,3316.8,3316.8,0.0,0.0
3D_45_25_b,2836.5354774337543,3638.851537682678,36054.433741,,,,,3535.29,3562.1364000000003,71.0,72.4,3511.92,3511.92,0.0,0.0
